ANT	dA	POST	TAG
Vazgeçmek kolaydı , ertelemek	de	.	NDC
Ben bu duvarı taşıyan birçok insan gördüm ve aşmaya değil yıkmaya çalıştım ; ama ne ben haberdardım bu duvarın yıkılamayacağından ne de duvarı taşıyan haberdardı bu duvarı taşıdığından . Sen	de	haberdar değildin ve ben hayatımda ilk kez yıkmaya değil aşmaya çalışıyordum .	DC
Köşede duran eski kırık kurnaları ve tuvalet taşlarını görünce hemen işe girişti . Bunları ses çıkarmamaya çalışarak düzenledi . Kuşku uyandırmamak amacıyla eski hallerini	de	pek bozmadan kolay kolay fark edilemeyecek güvenli bir köşe oluşturdu .	DC
Hamamcı ıslak peştamal ve havluyu sepete atarken takunyaların nasıl kuru kaldığına şaşırdı .      Halil gecelerce uğraşarak belirlediği yere bir delik daha açtı . Deliği açtığı yerde	de	eski takunyalar yığılıydı . Bunların altındaki delik en az öbürü kadar güvenliydi .	NDC
Halil bir gün yine saatlerce meyhanenin mahzeninde Ante ile içip dertleştikten sonra ağır ağır nakışçıya yürüdü . Kafasında kendi derdinin yanında Ante ' ninki	de	vardı .	NDC
Senin nerede olduğunu bildiğini söylüyor ve hatta tam adresini bile veriyordu . Bu adreste seni bulamayacağımı	da	ekliyordu .	DC
Artık kendi evinde kalmadığını , son zamanlarda birlikte olduğun bir adamın evine taşındığını , istersem bu adresi	de	bulabileceğini söylüyordu .	DC
Ben kıvranacaktım , ben acı çekip işkencelere gönüllü katlanacaktım senin yerine , sen bilmeden . Benim yüreğim	de	duvar taşıyordu . Aşmaya yeltenen olmadı .	NDC
Dükkânın sonunda adamın kızı bir müşteriye oya örnekleri gösteriyordu . Halil ' in geldiğini fark etmediler . Halil	de	içtiği içkilerin etkisiyle kadınlara bir şaka yapmaya karar verdi .	DC
Hepsi sakatlığımı anımsatacak kelimelerden özenle kaçınıyordu . Ben	de	özenle sakatlığımı anımsatacak cümleler kuruyordum geçmişe ilişkin görüntüleri hatırlatarak .	DC
Hiç kıpırdamadan oturuyordun . Bir şeyler anlatacaktın , ama öyküyü bitirmemi bekliyordun . Ben	de	parçası olduğum bu oyunu bozmadım . Öyküye devam ettim .	DC
Tezgâhın arkasına girerek kadınların olduğu tarafa dolandı . Birden önlerine çıkıp onları korkutacaktı . Başka kimse olmadığından iki kadının	da	yüzü açıktı . Halil onları korkutacağı yere geldiğinde donakaldı . Elleri , ayakları titremeye başladı .	NDC
Yalnızca tırmanıyordum ardıma bakmadan , belki	de	bakmaya cesaret edemeden .	NDC
Şemsî Ahmed Paşa onu ayakta karşılayarak , başına gelen talihsiz kazaya çok üzüldüğünü , eğer hasta olursa bunun sorumluluğunun kendisinde olduğunu söyledi . Aile hekimleri Bosnalı Kerim Bey ' in hizmetine verildiğini	de	ekledi . Hemen sıcak bir ıhlamur ikram ettiler .	DC
Mihriban Hanım babasından aldığı izinle yüzünü açmıştı . Ante bu hanımefendinin güzelliğine ve zarafetine hayran kalmıştı . Konaktan ayrılırken yüreğinde bir sızı duyuyordu . Aynı sızı konaktaki Mihriban Hanım ' ın yüreğinde	de	vardı .	DC
Ermeni Ante , Şemsî Ahmed Paşa ' nın isteğiyle konağa taşındı . Konakta özenli bir bakımla kısa sürede düzeldi . Ne var ki bedenindeki yaraları Hekim Bosnalı Kerim Bey	de	görmüş ve böyle bir şeyle ilk kez karşılaştığını söylemişti .	NDC
Kör karanlığa bürünen mahzende bir süre sesleri dinledi . Önce bir şey duymadığını sandı , ama seslere	de	karanlığa olduğu gibi , zamanla alışılıyordu .	NDC
Ante de Halil ' in Sadi Bey ' in oğlu olduğunu öğrendiğinde şaşkınlığını gizleyemedi . Ressam Halil çizdiği tabloları Ante ' ye getiriyor , onun	da	düşüncelerini öğreniyordu .	DC
Halil , bu garip yaratığın adının her yerde duyduğu  ' Ermeni Ante '  olduğunu öğrenince inanamadı . Ante	de	Halil ' in Sadi Bey ' in oğlu olduğunu öğrendiğinde şaşkınlığını gizleyemedi .	DC
Çarpışma sürerken bile onun yüzünü görüyordu . Sonuçsuz bir çarpışma sonrası iki donanma	da	geri çekilerek toparlanmaya başladı . Yeni bir çarpışma olacaktı .	NDC
Şemsî Ahmed Paşa müstakbel damadının denizlerdeki başarısından sonra ticari hayatta	da	dillere destan işler yapmasıyla iyice iştahlanmıştı .	NDC
